B16004_001E,B16004_001EA,B16004_001M,B16004_001MA,B16004_002E,B16004_002EA,B16004_002M,B16004_002MA,B16004_003E,B16004_003EA,B16004_003M,B16004_003MA,B16004_004E,B16004_004EA,B16004_004M,B16004_004MA,B16004_005E,B16004_005EA,B16004_005M,B16004_005MA,B16004_006E,B16004_006EA,B16004_006M,B16004_006MA,B16004_007E,B16004_007EA,B16004_007M,B16004_007MA,B16004_008E,B16004_008EA,B16004_008M,B16004_008MA,B16004_009E,B16004_009EA,B16004_009M,B16004_009MA,B16004_010E,B16004_010EA,B16004_010M,B16004_010MA,B16004_011E,B16004_011EA,B16004_011M,B16004_011MA,B16004_012E,B16004_012EA,B16004_012M,B16004_012MA,B16004_013E,B16004_013EA,B16004_013M,B16004_013MA,B16004_014E,B16004_014EA,B16004_014M,B16004_014MA,B16004_015E,B16004_015EA,B16004_015M,B16004_015MA,B16004_016E,B16004_016EA,B16004_016M,B16004_016MA,B16004_017E,B16004_017EA,B16004_017M,B16004_017MA,B16004_018E,B16004_018EA,B16004_018M,B16004_018MA,B16004_019E,B16004_019EA,B16004_019M,B16004_019MA,B16004_020E,B16004_020EA,B16004_020M,B16004_020MA,B16004_021E,B16004_021EA,B16004_021M,B16004_021MA,B16004_022E,B16004_022EA,B16004_022M,B16004_022MA,B16004_023E,B16004_023EA,B16004_023M,B16004_023MA,B16004_024E,B16004_024EA,B16004_024M,B16004_024MA,B16004_025E,B16004_025EA,B16004_025M,B16004_025MA,B16004_026E,B16004_026EA,B16004_026M,B16004_026MA,B16004_027E,B16004_027EA,B16004_027M,B16004_027MA,B16004_028E,B16004_028EA,B16004_028M,B16004_028MA,B16004_029E,B16004_029EA,B16004_029M,B16004_029MA,B16004_030E,B16004_030EA,B16004_030M,B16004_030MA,B16004_031E,B16004_031EA,B16004_031M,B16004_031MA,B16004_032E,B16004_032EA,B16004_032M,B16004_032MA,B16004_033E,B16004_033EA,B16004_033M,B16004_033MA,B16004_034E,B16004_034EA,B16004_034M,B16004_034MA,B16004_035E,B16004_035EA,B16004_035M,B16004_035MA,B16004_036E,B16004_036EA,B16004_036M,B16004_036MA,B16004_037E,B16004_037EA,B16004_037M,B16004_037MA,B16004_038E,B16004_038EA,B16004_038M,B16004_038MA,B16004_039E,B16004_039EA,B16004_039M,B16004_039MA,B16004_040E,B16004_040EA,B16004_040M,B16004_040MA,B16004_041E,B16004_041EA,B16004_041M,B16004_041MA,B16004_042E,B16004_042EA,B16004_042M,B16004_042MA,B16004_043E,B16004_043EA,B16004_043M,B16004_043MA,B16004_044E,B16004_044EA,B16004_044M,B16004_044MA,B16004_045E,B16004_045EA,B16004_045M,B16004_045MA,B16004_046E,B16004_046EA,B16004_046M,B16004_046MA,B16004_047E,B16004_047EA,B16004_047M,B16004_047MA,B16004_048E,B16004_048EA,B16004_048M,B16004_048MA,B16004_049E,B16004_049EA,B16004_049M,B16004_049MA,B16004_050E,B16004_050EA,B16004_050M,B16004_050MA,B16004_051E,B16004_051EA,B16004_051M,B16004_051MA,B16004_052E,B16004_052EA,B16004_052M,B16004_052MA,B16004_053E,B16004_053EA,B16004_053M,B16004_053MA,B16004_054E,B16004_054EA,B16004_054M,B16004_054MA,B16004_055E,B16004_055EA,B16004_055M,B16004_055MA,B16004_056E,B16004_056EA,B16004_056M,B16004_056MA,B16004_057E,B16004_057EA,B16004_057M,B16004_057MA,B16004_058E,B16004_058EA,B16004_058M,B16004_058MA,B16004_059E,B16004_059EA,B16004_059M,B16004_059MA,B16004_060E,B16004_060EA,B16004_060M,B16004_060MA,B16004_061E,B16004_061EA,B16004_061M,B16004_061MA,B16004_062E,B16004_062EA,B16004_062M,B16004_062MA,B16004_063E,B16004_063EA,B16004_063M,B16004_063MA,B16004_064E,B16004_064EA,B16004_064M,B16004_064MA,B16004_065E,B16004_065EA,B16004_065M,B16004_065MA,B16004_066E,B16004_066EA,B16004_066M,B16004_066MA,B16004_067E,B16004_067EA,B16004_067M,B16004_067MA,GEO_ID,NAME,state,county,tract,block group
807,,365,,9,,15,,9,,15,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,614,,343,,469,,320,,78,,119,,78,,119,,0,,13,,0,,13,,0,,13,,27,,36,,19,,32,,8,,17,,0,,13,,0,,13,,23,,27,,0,,13,,23,,27,,0,,13,,0,,13,,17,,27,,17,,27,,0,,13,,0,,13,,0,,13,,184,,91,,143,,79,,31,,41,,31,,41,,0,,13,,0,,13,,0,,13,,10,,20,,10,,20,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594528011,"Block Group 1, Census Tract 4528.01, Fairfax County, Virginia",51,59,452801,1
388,,143,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,278,,107,,266,,103,,12,,20,,0,,13,,0,,13,,12,,20,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,110,,81,,94,,80,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,16,,28,,16,,28,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594528014,"Block Group 4, Census Tract 4528.01, Fairfax County, Virginia",51,59,452801,4
1342,,260,,383,,121,,260,,89,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,37,,54,,37,,54,,0,,13,,0,,13,,0,,13,,75,,76,,39,,37,,36,,64,,0,,13,,0,,13,,11,,18,,0,,13,,11,,18,,0,,13,,0,,13,,727,,186,,419,,109,,37,,34,,27,,24,,6,,11,,0,,13,,4,,7,,87,,100,,53,,59,,0,,13,,34,,56,,0,,13,,184,,165,,117,,81,,67,,102,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,232,,99,,173,,94,,7,,11,,0,,13,,7,,11,,0,,13,,0,,13,,36,,33,,36,,33,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,16,,23,,0,,13,,8,,12,,8,,12,,0,,13,,510594601001,"Block Group 1, Census Tract 4601, Fairfax County, Virginia",51,59,460100,1
1795,,250,,337,,126,,282,,124,,32,,38,,12,,19,,0,,13,,0,,13,,20,,31,,9,,13,,9,,13,,0,,13,,0,,13,,0,,13,,14,,24,,14,,24,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1192,,220,,976,,225,,66,,74,,49,,58,,9,,15,,8,,13,,0,,13,,119,,67,,100,,57,,19,,20,,0,,13,,0,,13,,31,,32,,31,,32,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,266,,108,,233,,103,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,19,,22,,11,,18,,0,,13,,8,,12,,0,,13,,14,,21,,14,,21,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594602001,"Block Group 1, Census Tract 4602, Fairfax County, Virginia",51,59,460200,1
2122,,315,,539,,146,,469,,135,,43,,42,,43,,42,,0,,13,,0,,13,,0,,13,,12,,16,,12,,16,,0,,13,,0,,13,,0,,13,,15,,11,,11,,11,,0,,13,,0,,13,,4,,7,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1248,,214,,944,,208,,56,,34,,49,,32,,0,,13,,7,,12,,0,,13,,75,,38,,75,,38,,0,,13,,0,,13,,0,,13,,163,,45,,88,,31,,59,,26,,9,,10,,7,,11,,10,,12,,10,,12,,0,,13,,0,,13,,0,,13,,335,,54,,293,,56,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,32,,21,,24,,18,,8,,13,,0,,13,,0,,13,,5,,7,,5,,7,,0,,13,,0,,13,,0,,13,,5,,7,,5,,7,,0,,13,,0,,13,,0,,13,,510594603002,"Block Group 2, Census Tract 4603, Fairfax County, Virginia",51,59,460300,2
1897,,242,,378,,109,,342,,103,,8,,14,,8,,14,,0,,13,,0,,13,,0,,13,,21,,26,,21,,26,,0,,13,,0,,13,,0,,13,,7,,11,,0,,13,,7,,11,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1219,,193,,724,,158,,77,,71,,69,,65,,8,,13,,0,,13,,0,,13,,108,,84,,94,,84,,14,,19,,0,,13,,0,,13,,192,,83,,169,,81,,6,,11,,17,,20,,0,,13,,118,,93,,74,,56,,44,,46,,0,,13,,0,,13,,300,,94,,161,,75,,43,,47,,25,,39,,0,,13,,18,,29,,0,,13,,8,,13,,8,,13,,0,,13,,0,,13,,0,,13,,88,,67,,0,,13,,11,,14,,77,,63,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594604002,"Block Group 2, Census Tract 4604, Fairfax County, Virginia",51,59,460400,2
803,,246,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,791,,244,,444,,222,,16,,26,,16,,26,,0,,13,,0,,13,,0,,13,,109,,84,,109,,84,,0,,13,,0,,13,,0,,13,,86,,79,,86,,79,,0,,13,,0,,13,,0,,13,,136,,184,,20,,34,,44,,69,,72,,113,,0,,13,,12,,18,,12,,18,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594605031,"Block Group 1, Census Tract 4605.03, Fairfax County, Virginia",51,59,460503,1
2544,,751,,712,,397,,652,,386,,1,,2,,1,,2,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,47,,56,,20,,36,,27,,44,,0,,13,,0,,13,,12,,20,,12,,20,,0,,13,,0,,13,,0,,13,,1591,,469,,704,,341,,121,,205,,121,,205,,0,,13,,0,,13,,0,,13,,92,,67,,92,,67,,0,,13,,0,,13,,0,,13,,364,,146,,222,,121,,142,,95,,0,,13,,0,,13,,310,,307,,244,,299,,0,,13,,66,,75,,0,,13,,241,,118,,150,,109,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,27,,33,,26,,33,,1,,3,,0,,13,,0,,13,,46,,52,,16,,27,,0,,13,,30,,45,,0,,13,,18,,28,,0,,13,,0,,13,,18,,28,,0,,13,,510594605042,"Block Group 2, Census Tract 4605.04, Fairfax County, Virginia",51,59,460504,2
1239,,209,,298,,125,,280,,126,,4,,8,,4,,8,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,14,,18,,14,,18,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,803,,119,,599,,119,,36,,40,,23,,35,,13,,19,,0,,13,,0,,13,,53,,54,,29,,27,,15,,23,,9,,15,,0,,13,,115,,72,,61,,48,,32,,33,,22,,30,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,138,,68,,106,,62,,12,,21,,0,,13,,0,,13,,0,,13,,12,,21,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,20,,22,,20,,22,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594607011,"Block Group 1, Census Tract 4607.01, Fairfax County, Virginia",51,59,460701,1
2154,,632,,416,,140,,340,,128,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,14,,21,,0,,13,,14,,21,,0,,13,,0,,13,,62,,57,,62,,57,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1522,,570,,976,,370,,179,,126,,170,,130,,9,,15,,0,,13,,0,,13,,230,,146,,169,,99,,53,,49,,0,,13,,8,,10,,66,,48,,44,,37,,15,,17,,7,,13,,0,,13,,71,,109,,71,,109,,0,,13,,0,,13,,0,,13,,216,,79,,162,,69,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,9,,15,,9,,15,,0,,13,,0,,13,,0,,13,,23,,35,,0,,13,,23,,35,,0,,13,,0,,13,,22,,33,,22,,33,,0,,13,,0,,13,,0,,13,,510594607022,"Block Group 2, Census Tract 4607.02, Fairfax County, Virginia",51,59,460702,2
2085,,351,,322,,115,,249,,105,,11,,17,,11,,17,,0,,13,,0,,13,,0,,13,,28,,33,,28,,33,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,34,,53,,17,,27,,17,,26,,0,,13,,0,,13,,1117,,209,,871,,198,,44,,51,,7,,12,,37,,54,,0,,13,,0,,13,,54,,48,,54,,48,,0,,13,,0,,13,,0,,13,,80,,72,,37,,39,,29,,33,,14,,22,,0,,13,,68,,65,,36,,44,,0,,13,,17,,25,,15,,24,,646,,251,,552,,239,,7,,12,,0,,13,,0,,13,,7,,12,,0,,13,,87,,83,,59,,93,,0,,13,,28,,46,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594608002,"Block Group 2, Census Tract 4608, Fairfax County, Virginia",51,59,460800,2
1031,,351,,135,,102,,115,,95,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,20,,32,,20,,32,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,733,,298,,475,,188,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,21,,32,,0,,13,,21,,32,,0,,13,,0,,13,,237,,236,,210,,217,,14,,23,,13,,22,,0,,13,,163,,82,,143,,77,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,20,,31,,20,,31,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594615005,"Block Group 5, Census Tract 4615, Fairfax County, Virginia",51,59,461500,5
1649,,367,,150,,111,,54,,55,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,15,,28,,15,,28,,0,,13,,0,,13,,0,,13,,43,,60,,9,,15,,0,,13,,34,,57,,0,,13,,38,,69,,38,,69,,0,,13,,0,,13,,0,,13,,1379,,309,,938,,298,,117,,99,,117,,99,,0,,13,,0,,13,,0,,13,,166,,105,,151,,95,,15,,25,,0,,13,,0,,13,,132,,88,,50,,47,,29,,41,,53,,49,,0,,13,,26,,47,,0,,13,,13,,23,,13,,24,,0,,13,,120,,68,,44,,42,,54,,58,,0,,13,,54,,58,,0,,13,,0,,13,,22,,36,,22,,36,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594616032,"Block Group 2, Census Tract 4616.03, Fairfax County, Virginia",51,59,461603,2
753,,262,,66,,57,,50,,41,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,16,,28,,0,,13,,16,,28,,0,,13,,0,,13,,625,,249,,439,,229,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,31,,49,,31,,49,,0,,13,,0,,13,,0,,13,,72,,67,,72,,67,,0,,13,,0,,13,,0,,13,,83,,96,,65,,69,,18,,28,,0,,13,,0,,13,,62,,53,,49,,51,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,13,,20,,13,,20,,0,,13,,0,,13,,0,,13,,510594616042,"Block Group 2, Census Tract 4616.04, Fairfax County, Virginia",51,59,461604,2
971,,452,,141,,148,,65,,86,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,76,,120,,76,,120,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,790,,321,,479,,194,,6,,16,,6,,16,,0,,13,,0,,13,,0,,13,,271,,275,,161,,146,,110,,144,,0,,13,,0,,13,,34,,41,,34,,41,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,40,,48,,40,,48,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594616053,"Block Group 3, Census Tract 4616.05, Fairfax County, Virginia",51,59,461605,3
1862,,467,,116,,91,,36,,41,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,4,,9,,4,,9,,0,,13,,0,,13,,0,,13,,76,,78,,73,,80,,0,,13,,0,,13,,3,,14,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1542,,420,,662,,193,,262,,270,,97,,124,,47,,87,,92,,109,,26,,49,,181,,163,,8,,18,,121,,106,,52,,62,,0,,13,,437,,317,,170,,106,,148,,144,,39,,48,,80,,108,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,204,,90,,82,,49,,72,,73,,50,,68,,22,,35,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,50,,59,,0,,13,,28,,30,,22,,37,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594617001,"Block Group 1, Census Tract 4617, Fairfax County, Virginia",51,59,461700,1
1184,,549,,173,,145,,81,,123,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,27,,43,,27,,43,,0,,13,,0,,13,,0,,13,,65,,72,,65,,72,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,923,,451,,231,,136,,112,,139,,45,,55,,67,,85,,0,,13,,0,,13,,272,,297,,260,,295,,12,,19,,0,,13,,0,,13,,308,,312,,300,,309,,0,,13,,8,,14,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,88,,72,,46,,43,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,35,,57,,0,,13,,0,,13,,0,,13,,35,,57,,7,,10,,0,,13,,7,,10,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594617004,"Block Group 4, Census Tract 4617, Fairfax County, Virginia",51,59,461700,4
1781,,331,,331,,149,,137,,127,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,175,,165,,165,,162,,10,,17,,0,,13,,0,,13,,19,,32,,19,,32,,0,,13,,0,,13,,0,,13,,1227,,242,,677,,180,,212,,187,,150,,110,,62,,91,,0,,13,,0,,13,,31,,39,,31,,39,,0,,13,,0,,13,,0,,13,,246,,204,,180,,140,,56,,65,,10,,18,,0,,13,,61,,106,,61,,106,,0,,13,,0,,13,,0,,13,,223,,129,,77,,67,,55,,78,,30,,42,,0,,13,,25,,35,,0,,13,,12,,20,,12,,20,,0,,13,,0,,13,,0,,13,,79,,73,,0,,13,,37,,44,,42,,52,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594618022,"Block Group 2, Census Tract 4618.02, Fairfax County, Virginia",51,59,461802,2
1972,,368,,400,,148,,209,,81,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,57,,74,,47,,74,,10,,15,,0,,13,,0,,13,,98,,93,,41,,33,,57,,87,,0,,13,,0,,13,,36,,30,,28,,24,,8,,14,,0,,13,,0,,13,,1230,,220,,555,,125,,93,,66,,93,,66,,0,,13,,0,,13,,0,,13,,187,,149,,187,,149,,0,,13,,0,,13,,0,,13,,291,,171,,103,,77,,89,,60,,99,,93,,0,,13,,104,,90,,104,,90,,0,,13,,0,,13,,0,,13,,342,,148,,260,,127,,10,,16,,10,,16,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,72,,62,,38,,37,,0,,13,,34,,55,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594619012,"Block Group 2, Census Tract 4619.01, Fairfax County, Virginia",51,59,461901,2
1709,,254,,397,,107,,330,,104,,5,,8,,5,,8,,0,,13,,0,,13,,0,,13,,36,,32,,36,,32,,0,,13,,0,,13,,0,,13,,20,,24,,20,,24,,0,,13,,0,,13,,0,,13,,6,,8,,6,,8,,0,,13,,0,,13,,0,,13,,955,,158,,713,,156,,53,,44,,39,,35,,14,,20,,0,,13,,0,,13,,64,,44,,64,,44,,0,,13,,0,,13,,0,,13,,108,,56,,43,,30,,40,,33,,16,,21,,9,,12,,17,,15,,12,,13,,5,,8,,0,,13,,0,,13,,357,,125,,262,,121,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,29,,24,,29,,24,,0,,13,,0,,13,,0,,13,,54,,28,,30,,22,,5,,8,,10,,14,,9,,12,,12,,17,,5,,7,,7,,10,,0,,13,,0,,13,,510594701002,"Block Group 2, Census Tract 4701, Fairfax County, Virginia",51,59,470100,2
1086,,198,,198,,93,,198,,93,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,624,,182,,409,,131,,53,,81,,53,,81,,0,,13,,0,,13,,0,,13,,104,,123,,104,,123,,0,,13,,0,,13,,0,,13,,39,,56,,23,,36,,6,,10,,10,,13,,0,,13,,19,,29,,19,,29,,0,,13,,0,,13,,0,,13,,264,,96,,225,,87,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,34,,39,,10,,15,,0,,13,,24,,36,,0,,13,,5,,8,,0,,13,,5,,8,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594704001,"Block Group 1, Census Tract 4704, Fairfax County, Virginia",51,59,470400,1
1560,,293,,346,,92,,288,,82,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,36,,41,,36,,41,,0,,13,,0,,13,,0,,13,,15,,17,,15,,17,,0,,13,,0,,13,,0,,13,,7,,11,,7,,11,,0,,13,,0,,13,,0,,13,,820,,192,,594,,196,,56,,47,,45,,38,,0,,13,,0,,13,,11,,17,,34,,32,,34,,32,,0,,13,,0,,13,,0,,13,,82,,58,,62,,40,,0,,13,,0,,13,,20,,30,,54,,63,,54,,63,,0,,13,,0,,13,,0,,13,,394,,154,,330,,142,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,56,,54,,29,,33,,27,,42,,0,,13,,0,,13,,8,,12,,8,,12,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594704004,"Block Group 4, Census Tract 4704, Fairfax County, Virginia",51,59,470400,4
1076,,507,,273,,151,,273,,151,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,614,,301,,348,,137,,33,,47,,33,,47,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,233,,248,,162,,168,,0,,13,,71,,81,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,189,,141,,91,,60,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,98,,113,,0,,13,,47,,54,,51,,59,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594705003,"Block Group 3, Census Tract 4705, Fairfax County, Virginia",51,59,470500,3
1627,,309,,213,,101,,164,,98,,6,,11,,6,,11,,0,,13,,0,,13,,0,,13,,21,,25,,21,,25,,0,,13,,0,,13,,0,,13,,22,,24,,22,,24,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,914,,277,,542,,140,,77,,70,,77,,70,,0,,13,,0,,13,,0,,13,,12,,21,,12,,21,,0,,13,,0,,13,,0,,13,,221,,222,,173,,214,,48,,44,,0,,13,,0,,13,,62,,67,,62,,67,,0,,13,,0,,13,,0,,13,,500,,94,,409,,103,,1,,2,,1,,2,,0,,13,,0,,13,,0,,13,,78,,51,,70,,49,,8,,13,,0,,13,,0,,13,,12,,12,,8,,13,,0,,13,,4,,8,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510594706002,"Block Group 2, Census Tract 4706, Fairfax County, Virginia",51,59,470600,2
1044,,221,,218,,88,,164,,81,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,43,,43,,43,,43,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,11,,18,,11,,18,,0,,13,,0,,13,,0,,13,,552,,147,,418,,122,,18,,21,,18,,21,,0,,13,,0,,13,,0,,13,,85,,71,,73,,64,,12,,18,,0,,13,,0,,13,,12,,20,,12,,20,,0,,13,,0,,13,,0,,13,,19,,31,,13,,22,,0,,13,,6,,9,,0,,13,,274,,121,,206,,105,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,27,,20,,17,,19,,10,,17,,0,,13,,0,,13,,23,,37,,23,,37,,0,,13,,0,,13,,0,,13,,18,,28,,18,,28,,0,,13,,0,,13,,0,,13,,510594707002,"Block Group 2, Census Tract 4707, Fairfax County, Virginia",51,59,470700,2
