NAME,GEO_ID,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,state,county,tract,block group
"Block Group 1, Census Tract 4528.01, Fairfax County, Virginia",510594528011,798,434,434,434,0,0,364,51,59,452801,1
"Block Group 4, Census Tract 4528.01, Fairfax County, Virginia",510594528014,388,278,278,263,15,0,110,51,59,452801,4
"Block Group 1, Census Tract 4601, Fairfax County, Virginia",510594601001,1032,690,679,671,8,11,342,51,59,460100,1
"Block Group 1, Census Tract 4602, Fairfax County, Virginia",510594602001,1530,913,913,895,18,0,617,51,59,460200,1
"Block Group 2, Census Tract 4603, Fairfax County, Virginia",510594603002,1656,1145,1139,1116,23,6,511,51,59,460300,2
"Block Group 2, Census Tract 4604, Fairfax County, Virginia",510594604002,1547,1096,1071,1062,9,25,451,51,59,460400,2
"Block Group 1, Census Tract 4605.03, Fairfax County, Virginia",510594605031,803,577,577,561,16,0,226,51,59,460503,1
"Block Group 2, Census Tract 4605.04, Fairfax County, Virginia",510594605042,1914,1346,1346,1253,93,0,568,51,59,460504,2
"Block Group 1, Census Tract 4607.01, Fairfax County, Virginia",510594607011,1004,713,713,703,10,0,291,51,59,460701,1
"Block Group 2, Census Tract 4607.02, Fairfax County, Virginia",510594607022,1780,1484,1448,1342,106,36,296,51,59,460702,2
"Block Group 2, Census Tract 4608, Fairfax County, Virginia",510594608002,1810,1012,1012,977,35,0,798,51,59,460800,2
"Block Group 5, Census Tract 4615, Fairfax County, Virginia",510594615005,930,562,562,537,25,0,368,51,59,461500,5
"Block Group 2, Census Tract 4616.03, Fairfax County, Virginia",510594616032,1512,1097,1092,1079,13,5,415,51,59,461603,2
"Block Group 2, Census Tract 4616.04, Fairfax County, Virginia",510594616042,696,547,547,547,0,0,149,51,59,461604,2
"Block Group 3, Census Tract 4616.05, Fairfax County, Virginia",510594616053,888,733,727,727,0,6,155,51,59,461605,3
"Block Group 1, Census Tract 4617, Fairfax County, Virginia",510594617001,1758,1399,1394,1372,22,5,359,51,59,461700,1
"Block Group 4, Census Tract 4617, Fairfax County, Virginia",510594617004,1024,916,830,806,24,86,108,51,59,461700,4
"Block Group 2, Census Tract 4618.02, Fairfax County, Virginia",510594618022,1540,1236,1236,1236,0,0,304,51,59,461802,2
"Block Group 2, Census Tract 4619.01, Fairfax County, Virginia",510594619012,1615,1119,1108,1060,48,11,496,51,59,461901,2
"Block Group 2, Census Tract 4701, Fairfax County, Virginia",510594701002,1410,847,847,829,18,0,563,51,59,470100,2
"Block Group 1, Census Tract 4704, Fairfax County, Virginia",510594704001,934,529,529,483,46,0,405,51,59,470400,1
"Block Group 4, Census Tract 4704, Fairfax County, Virginia",510594704004,1268,727,708,708,0,19,541,51,59,470400,4
"Block Group 3, Census Tract 4705, Fairfax County, Virginia",510594705003,830,682,682,682,0,0,148,51,59,470500,3
"Block Group 2, Census Tract 4706, Fairfax County, Virginia",510594706002,1467,977,977,918,59,0,490,51,59,470600,2
"Block Group 2, Census Tract 4707, Fairfax County, Virginia",510594707002,861,495,469,455,14,26,366,51,59,470700,2
"Block Group 5, Census Tract 4707, Fairfax County, Virginia",510594707005,756,542,542,542,0,0,214,51,59,470700,5
"Block Group 1, Census Tract 4709, Fairfax County, Virginia",510594709001,1814,923,923,890,33,0,891,51,59,470900,1
"Block Group 3, Census Tract 4712.04, Fairfax County, Virginia",510594712043,1254,837,837,790,47,0,417,51,59,471204,3
"Block Group 2, Census Tract 4713.01, Fairfax County, Virginia",510594713012,2040,1532,1532,1483,49,0,508,51,59,471301,2
"Block Group 3, Census Tract 4713.03, Fairfax County, Virginia",510594713033,1627,1129,1116,1094,22,13,498,51,59,471303,3
"Block Group 2, Census Tract 4714.01, Fairfax County, Virginia",510594714012,1827,1391,1391,1371,20,0,436,51,59,471401,2
"Block Group 1, Census Tract 4801, Fairfax County, Virginia",510594801001,1059,640,640,616,24,0,419,51,59,480100,1
"Block Group 4, Census Tract 4801, Fairfax County, Virginia",510594801004,523,267,267,230,37,0,256,51,59,480100,4
"Block Group 3, Census Tract 4802.01, Fairfax County, Virginia",510594802013,827,571,563,534,29,8,256,51,59,480201,3
"Block Group 1, Census Tract 4802.04, Fairfax County, Virginia",510594802041,1250,1091,1091,1021,70,0,159,51,59,480204,1
"Block Group 1, Census Tract 4802.05, Fairfax County, Virginia",510594802051,308,232,232,215,17,0,76,51,59,480205,1
"Block Group 2, Census Tract 4803.01, Fairfax County, Virginia",510594803012,1243,794,794,735,59,0,449,51,59,480301,2
"Block Group 3, Census Tract 4803.02, Fairfax County, Virginia",510594803023,1983,1441,1441,1441,0,0,542,51,59,480302,3
"Block Group 1, Census Tract 4804.02, Fairfax County, Virginia",510594804021,1790,1131,1131,1086,45,0,659,51,59,480402,1
"Block Group 1, Census Tract 4805.01, Fairfax County, Virginia",510594805011,622,399,399,380,19,0,223,51,59,480501,1
