NAME,GEO_ID,B03002_012E,B03002_013E,B03002_014E,B03002_015E,B03002_016E,B03002_017E,B03002_018E,B03002_019E,B03002_020E,B03002_021E,state,county,tract,block group
"Block Group 1, Census Tract 4528.01, Fairfax County, Virginia",510594528011,163,134,0,0,0,0,29,0,0,0,51,59,452801,1
"Block Group 4, Census Tract 4528.01, Fairfax County, Virginia",510594528014,17,0,0,0,17,0,0,0,0,0,51,59,452801,4
"Block Group 1, Census Tract 4601, Fairfax County, Virginia",510594601001,101,88,0,0,0,0,4,9,9,0,51,59,460100,1
"Block Group 1, Census Tract 4602, Fairfax County, Virginia",510594602001,154,154,0,0,0,0,0,0,0,0,51,59,460200,1
"Block Group 2, Census Tract 4603, Fairfax County, Virginia",510594603002,170,169,0,0,0,0,0,1,1,0,51,59,460300,2
"Block Group 2, Census Tract 4604, Fairfax County, Virginia",510594604002,145,103,0,0,0,0,34,8,8,0,51,59,460400,2
"Block Group 1, Census Tract 4605.03, Fairfax County, Virginia",510594605031,98,16,0,0,0,0,0,82,29,53,51,59,460503,1
"Block Group 2, Census Tract 4605.04, Fairfax County, Virginia",510594605042,152,152,0,0,0,0,0,0,0,0,51,59,460504,2
"Block Group 1, Census Tract 4607.01, Fairfax County, Virginia",510594607011,48,37,11,0,0,0,0,0,0,0,51,59,460701,1
"Block Group 2, Census Tract 4607.02, Fairfax County, Virginia",510594607022,168,49,0,0,0,0,86,33,33,0,51,59,460702,2
"Block Group 2, Census Tract 4608, Fairfax County, Virginia",510594608002,109,109,0,0,0,0,0,0,0,0,51,59,460800,2
"Block Group 5, Census Tract 4615, Fairfax County, Virginia",510594615005,46,28,0,0,0,0,0,18,18,0,51,59,461500,5
"Block Group 2, Census Tract 4616.03, Fairfax County, Virginia",510594616032,176,154,0,0,0,0,22,0,0,0,51,59,461603,2
"Block Group 2, Census Tract 4616.04, Fairfax County, Virginia",510594616042,0,0,0,0,0,0,0,0,0,0,51,59,461604,2
"Block Group 3, Census Tract 4616.05, Fairfax County, Virginia",510594616053,22,0,0,0,0,0,15,7,7,0,51,59,461605,3
"Block Group 1, Census Tract 4617, Fairfax County, Virginia",510594617001,334,159,0,0,0,0,175,0,0,0,51,59,461700,1
"Block Group 4, Census Tract 4617, Fairfax County, Virginia",510594617004,100,12,0,0,0,0,88,0,0,0,51,59,461700,4
"Block Group 2, Census Tract 4618.02, Fairfax County, Virginia",510594618022,454,70,0,0,0,0,360,24,24,0,51,59,461802,2
"Block Group 2, Census Tract 4619.01, Fairfax County, Virginia",510594619012,141,102,0,0,0,0,0,39,22,17,51,59,461901,2
"Block Group 2, Census Tract 4701, Fairfax County, Virginia",510594701002,74,46,0,8,0,0,12,8,0,8,51,59,470100,2
"Block Group 1, Census Tract 4704, Fairfax County, Virginia",510594704001,32,32,0,0,0,0,0,0,0,0,51,59,470400,1
"Block Group 4, Census Tract 4704, Fairfax County, Virginia",510594704004,113,104,9,0,0,0,0,0,0,0,51,59,470400,4
"Block Group 3, Census Tract 4705, Fairfax County, Virginia",510594705003,33,33,0,0,0,0,0,0,0,0,51,59,470500,3
"Block Group 2, Census Tract 4706, Fairfax County, Virginia",510594706002,112,77,0,0,0,0,15,20,20,0,51,59,470600,2
"Block Group 2, Census Tract 4707, Fairfax County, Virginia",510594707002,32,32,0,0,0,0,0,0,0,0,51,59,470700,2
"Block Group 5, Census Tract 4707, Fairfax County, Virginia",510594707005,90,29,0,0,0,0,61,0,0,0,51,59,470700,5
"Block Group 1, Census Tract 4709, Fairfax County, Virginia",510594709001,3,3,0,0,0,0,0,0,0,0,51,59,470900,1
"Block Group 3, Census Tract 4712.04, Fairfax County, Virginia",510594712043,215,200,0,0,0,0,15,0,0,0,51,59,471204,3
"Block Group 2, Census Tract 4713.01, Fairfax County, Virginia",510594713012,376,322,0,0,0,0,54,0,0,0,51,59,471301,2
"Block Group 3, Census Tract 4713.03, Fairfax County, Virginia",510594713033,376,57,0,0,0,0,319,0,0,0,51,59,471303,3
"Block Group 2, Census Tract 4714.01, Fairfax County, Virginia",510594714012,794,218,43,0,0,0,479,54,29,25,51,59,471401,2
"Block Group 1, Census Tract 4801, Fairfax County, Virginia",510594801001,24,24,0,0,0,0,0,0,0,0,51,59,480100,1
"Block Group 4, Census Tract 4801, Fairfax County, Virginia",510594801004,16,16,0,0,0,0,0,0,0,0,51,59,480100,4
"Block Group 3, Census Tract 4802.01, Fairfax County, Virginia",510594802013,45,36,0,9,0,0,0,0,0,0,51,59,480201,3
"Block Group 1, Census Tract 4802.04, Fairfax County, Virginia",510594802041,82,82,0,0,0,0,0,0,0,0,51,59,480204,1
"Block Group 1, Census Tract 4802.05, Fairfax County, Virginia",510594802051,79,41,38,0,0,0,0,0,0,0,51,59,480205,1
"Block Group 2, Census Tract 4803.01, Fairfax County, Virginia",510594803012,8,8,0,0,0,0,0,0,0,0,51,59,480301,2
"Block Group 3, Census Tract 4803.02, Fairfax County, Virginia",510594803023,54,54,0,0,0,0,0,0,0,0,51,59,480302,3
"Block Group 1, Census Tract 4804.02, Fairfax County, Virginia",510594804021,97,97,0,0,0,0,0,0,0,0,51,59,480402,1
"Block Group 1, Census Tract 4805.01, Fairfax County, Virginia",510594805011,25,25,0,0,0,0,0,0,0,0,51,59,480501,1
"Block Group 1, Census Tract 4805.02, Fairfax County, Virginia",510594805021,495,341,0,0,0,0,154,0,0,0,51,59,480502,1
"Block Group 3, Census Tract 202, Tazewell County, Virginia",511850202003,15,12,0,0,0,0,0,3,0,3,51,185,20200,3
"Block Group 2, Census Tract 203.01, Tazewell County, Virginia",511850203012,0,0,0,0,0,0,0,0,0,0,51,185,20301,2
"Block Group 2, Census Tract 203.02, Tazewell County, Virginia",511850203022,0,0,0,0,0,0,0,0,0,0,51,185,20302,2
"Block Group 1, Census Tract 204, Tazewell County, Virginia",511850204001,24,0,0,0,0,0,24,0,0,0,51,185,20400,1
"Block Group 4, Census Tract 204, Tazewell County, Virginia",511850204004,0,0,0,0,0,0,0,0,0,0,51,185,20400,4
"Block Group 3, Census Tract 205, Tazewell County, Virginia",511850205003,0,0,0,0,0,0,0,0,0,0,51,185,20500,3
"Block Group 3, Census Tract 206, Tazewell County, Virginia",511850206003,0,0,0,0,0,0,0,0,0,0,51,185,20600,3
"Block Group 2, Census Tract 207, Tazewell County, Virginia",511850207002,10,10,0,0,0,0,0,0,0,0,51,185,20700,2
"Block Group 2, Census Tract 208, Tazewell County, Virginia",511850208002,0,0,0,0,0,0,0,0,0,0,51,185,20800,2
"Block Group 2, Census Tract 201.02, Warren County, Virginia",511870201022,0,0,0,0,0,0,0,0,0,0,51,187,20102,2
"Block Group 1, Census Tract 203, Warren County, Virginia",511870203001,152,0,0,0,0,0,152,0,0,0,51,187,20300,1
"Block Group 4, Census Tract 203, Warren County, Virginia",511870203004,0,0,0,0,0,0,0,0,0,0,51,187,20300,4
"Block Group 2, Census Tract 204, Warren County, Virginia",511870204002,65,0,0,0,0,0,0,65,65,0,51,187,20400,2
"Block Group 5, Census Tract 204, Warren County, Virginia",511870204005,19,7,12,0,0,0,0,0,0,0,51,187,20400,5
"Block Group 3, Census Tract 205, Warren County, Virginia",511870205003,259,23,8,0,0,0,78,150,150,0,51,187,20500,3
"Block Group 2, Census Tract 206.01, Warren County, Virginia",511870206012,185,147,9,0,0,0,12,17,17,0,51,187,20601,2
"Block Group 1, Census Tract 206.02, Warren County, Virginia",511870206021,425,118,0,0,0,0,129,178,146,32,51,187,20602,1
"Block Group 2, Census Tract 207, Warren County, Virginia",511870207002,23,23,0,0,0,0,0,0,0,0,51,187,20700,2
"Block Group 3, Census Tract 101.01, Washington County, Virginia",511910101013,15,15,0,0,0,0,0,0,0,0,51,191,10101,3
"Block Group 1, Census Tract 102, Washington County, Virginia",511910102001,0,0,0,0,0,0,0,0,0,0,51,191,10200,1
"Block Group 4, Census Tract 102, Washington County, Virginia",511910102004,0,0,0,0,0,0,0,0,0,0,51,191,10200,4
"Block Group 1, Census Tract 103.02, Washington County, Virginia",511910103021,0,0,0,0,0,0,0,0,0,0,51,191,10302,1
"Block Group 2, Census Tract 104.01, Washington County, Virginia",511910104012,20,20,0,0,0,0,0,0,0,0,51,191,10401,2
"Block Group 2, Census Tract 105.01, Washington County, Virginia",511910105012,56,8,0,0,0,0,9,39,39,0,51,191,10501,2
"Block Group 2, Census Tract 105.02, Washington County, Virginia",511910105022,0,0,0,0,0,0,0,0,0,0,51,191,10502,2
"Block Group 3, Census Tract 109, Washington County, Virginia",511910109003,0,0,0,0,0,0,0,0,0,0,51,191,10900,3
"Block Group 3, Census Tract 110, Washington County, Virginia",511910110003,0,0,0,0,0,0,0,0,0,0,51,191,11000,3
"Block Group 1, Census Tract 101.02, Westmoreland County, Virginia",511930101021,0,0,0,0,0,0,0,0,0,0,51,193,10102,1
"Block Group 4, Census Tract 101.02, Westmoreland County, Virginia",511930101024,0,0,0,0,0,0,0,0,0,0,51,193,10102,4
"Block Group 3, Census Tract 102, Westmoreland County, Virginia",511930102003,47,0,0,0,0,0,47,0,0,0,51,193,10200,3
"Block Group 3, Census Tract 103, Westmoreland County, Virginia",511930103003,0,0,0,0,0,0,0,0,0,0,51,193,10300,3
"Block Group 1, Census Tract 104.02, Westmoreland County, Virginia",511930104021,0,0,0,0,0,0,0,0,0,0,51,193,10402,1
"Block Group 1, Census Tract 9307, Wise County, Virginia",511959307001,0,0,0,0,0,0,0,0,0,0,51,195,930700,1
"Block Group 1, Census Tract 9308, Wise County, Virginia",511959308001,0,0,0,0,0,0,0,0,0,0,51,195,930800,1
"Block Group 2, Census Tract 9309, Wise County, Virginia",511959309002,97,16,0,0,0,0,0,81,81,0,51,195,930900,2
"Block Group 1, Census Tract 9311, Wise County, Virginia",511959311001,29,8,0,0,0,0,0,21,0,21,51,195,931100,1
"Block Group 1, Census Tract 9312, Wise County, Virginia",511959312001,0,0,0,0,0,0,0,0,0,0,51,195,931200,1
"Block Group 4, Census Tract 9312, Wise County, Virginia",511959312004,0,0,0,0,0,0,0,0,0,0,51,195,931200,4
"Block Group 2, Census Tract 9313, Wise County, Virginia",511959313002,0,0,0,0,0,0,0,0,0,0,51,195,931300,2
"Block Group 3, Census Tract 9314, Wise County, Virginia",511959314003,16,11,0,0,0,0,0,5,0,5,51,195,931400,3
"Block Group 3, Census Tract 9315, Wise County, Virginia",511959315003,0,0,0,0,0,0,0,0,0,0,51,195,931500,3
"Block Group 1, Census Tract 4805.03, Fairfax County, Virginia",510594805031,125,93,0,0,0,0,0,32,0,32,51,59,480503,1
"Block Group 1, Census Tract 4809.02, Fairfax County, Virginia",510594809021,776,634,0,0,0,0,142,0,0,0,51,59,480902,1
"Block Group 2, Census Tract 4809.03, Fairfax County, Virginia",510594809032,373,210,0,0,0,0,0,163,163,0,51,59,480903,2
"Block Group 2, Census Tract 4810, Fairfax County, Virginia",510594810002,2736,982,0,29,0,0,1252,473,473,0,51,59,481000,2
"Block Group 1, Census Tract 4811.02, Fairfax County, Virginia",510594811021,324,251,0,0,0,0,73,0,0,0,51,59,481102,1
"Block Group 2, Census Tract 4811.03, Fairfax County, Virginia",510594811032,521,419,0,0,0,0,88,14,14,0,51,59,481103,2
"Block Group 3, Census Tract 4811.04, Fairfax County, Virginia",510594811043,21,21,0,0,0,0,0,0,0,0,51,59,481104,3
"Block Group 3, Census Tract 4811.05, Fairfax County, Virginia",510594811053,149,106,0,0,0,17,0,26,0,26,51,59,481105,3
"Block Group 3, Census Tract 4811.06, Fairfax County, Virginia",510594811063,223,177,0,0,0,0,13,33,33,0,51,59,481106,3
"Block Group 2, Census Tract 4812.02, Fairfax County, Virginia",510594812022,249,71,0,0,12,0,166,0,0,0,51,59,481202,2
"Block Group 2, Census Tract 4814, Fairfax County, Virginia",510594814002,378,251,0,0,0,0,88,39,39,0,51,59,481400,2
"Block Group 1, Census Tract 4815, Fairfax County, Virginia",510594815001,91,58,0,0,27,0,6,0,0,0,51,59,481500,1
"Block Group 1, Census Tract 4817.01, Fairfax County, Virginia",510594817011,88,88,0,0,0,0,0,0,0,0,51,59,481701,1
"Block Group 1, Census Tract 4817.02, Fairfax County, Virginia",510594817021,183,69,0,0,0,0,48,66,57,9,51,59,481702,1
"Block Group 1, Census Tract 4819, Fairfax County, Virginia",510594819001,197,139,0,14,0,0,44,0,0,0,51,59,481900,1
"Block Group 3, Census Tract 4819, Fairfax County, Virginia",510594819003,31,0,0,14,0,0,17,0,0,0,51,59,481900,3
"Block Group 3, Census Tract 4822.05, Fairfax County, Virginia",510594822053,8,8,0,0,0,0,0,0,0,0,51,59,482205,3
"Block Group 2, Census Tract 4823.01, Fairfax County, Virginia",510594823012,12,12,0,0,0,0,0,0,0,0,51,59,482301,2
"Block Group 2, Census Tract 4823.02, Fairfax County, Virginia",510594823022,663,455,0,0,27,0,18,163,163,0,51,59,482302,2
"Block Group 3, Census Tract 4823.03, Fairfax County, Virginia",510594823033,108,71,0,0,0,0,26,11,11,0,51,59,482303,3
"Block Group 2, Census Tract 4825.02, Fairfax County, Virginia",510594825022,53,53,0,0,0,0,0,0,0,0,51,59,482502,2
"Block Group 3, Census Tract 4825.03, Fairfax County, Virginia",510594825033,92,92,0,0,0,0,0,0,0,0,51,59,482503,3
"Block Group 3, Census Tract 4825.04, Fairfax County, Virginia",510594825043,106,34,0,0,17,18,0,37,0,37,51,59,482504,3
"Block Group 1, Census Tract 4825.06, Fairfax County, Virginia",510594825061,40,17,12,0,0,0,0,11,11,0,51,59,482506,1
"Block Group 2, Census Tract 4825.07, Fairfax County, Virginia",510594825072,157,133,24,0,0,0,0,0,0,0,51,59,482507,2
"Block Group 1, Census Tract 4826.01, Fairfax County, Virginia",510594826011,152,93,0,0,0,0,59,0,0,0,51,59,482601,1
"Block Group 1, Census Tract 4826.03, Fairfax County, Virginia",510594826031,18,0,0,0,18,0,0,0,0,0,51,59,482603,1
"Block Group 2, Census Tract 4826.04, Fairfax County, Virginia",510594826042,110,0,0,0,0,0,110,0,0,0,51,59,482604,2
"Block Group 3, Census Tract 4901.01, Fairfax County, Virginia",510594901013,239,87,0,0,0,0,57,95,95,0,51,59,490101,3
"Block Group 1, Census Tract 4901.05, Fairfax County, Virginia",510594901051,240,101,19,0,0,0,51,69,69,0,51,59,490105,1
"Block Group 1, Census Tract 4905.01, Fairfax County, Virginia",510594905011,185,67,0,0,0,0,118,0,0,0,51,59,490501,1
"Block Group 4, Census Tract 4912.01, Fairfax County, Virginia",510594912014,17,0,0,0,0,0,17,0,0,0,51,59,491201,4
"Block Group 2, Census Tract 4913.01, Fairfax County, Virginia",510594913012,452,136,0,0,0,0,100,216,100,116,51,59,491301,2
"Block Group 1, Census Tract 4913.02, Fairfax County, Virginia",510594913021,153,90,0,0,0,0,63,0,0,0,51,59,491302,1
"Block Group 2, Census Tract 4913.03, Fairfax County, Virginia",510594913032,857,600,128,0,0,0,129,0,0,0,51,59,491303,2
"Block Group 3, Census Tract 4914.01, Fairfax County, Virginia",510594914013,53,0,0,0,0,0,39,14,14,0,51,59,491401,3
"Block Group 2, Census Tract 4914.02, Fairfax County, Virginia",510594914022,342,251,0,0,0,0,84,7,7,0,51,59,491402,2
"Block Group 1, Census Tract 4914.04, Fairfax County, Virginia",510594914041,72,46,0,0,0,0,26,0,0,0,51,59,491404,1
"Block Group 1, Census Tract 4914.05, Fairfax County, Virginia",510594914051,89,63,5,0,0,0,0,21,3,18,51,59,491405,1
"Block Group 3, Census Tract 4915.01, Fairfax County, Virginia",510594915013,40,40,0,0,0,0,0,0,0,0,51,59,491501,3
"Block Group 3, Census Tract 4915.02, Fairfax County, Virginia",510594915023,141,29,0,0,0,0,0,112,112,0,51,59,491502,3
"Block Group 1, Census Tract 503.01, Wythe County, Virginia",511970503011,0,0,0,0,0,0,0,0,0,0,51,197,50301,1
"Block Group 4, Census Tract 503.01, Wythe County, Virginia",511970503014,1,0,0,0,0,0,0,1,1,0,51,197,50301,4
"Block Group 1, Census Tract 503.02, Wythe County, Virginia",511970503021,15,15,0,0,0,0,0,0,0,0,51,197,50302,1
"Block Group 2, Census Tract 504.01, Wythe County, Virginia",511970504012,0,0,0,0,0,0,0,0,0,0,51,197,50401,2
"Block Group 2, Census Tract 504.02, Wythe County, Virginia",511970504022,0,0,0,0,0,0,0,0,0,0,51,197,50402,2
"Block Group 1, Census Tract 502.03, York County, Virginia",511990502031,139,86,0,0,0,28,0,25,9,16,51,199,50203,1
"Block Group 1, Census Tract 502.05, York County, Virginia",511990502051,7,0,0,0,0,0,0,7,7,0,51,199,50205,1
"Block Group 1, Census Tract 502.06, York County, Virginia",511990502061,180,74,0,0,53,0,53,0,0,0,51,199,50206,1
"Block Group 4, Census Tract 502.06, York County, Virginia",511990502064,0,0,0,0,0,0,0,0,0,0,51,199,50206,4
"Block Group 3, Census Tract 502.07, York County, Virginia",511990502073,365,342,0,0,7,0,16,0,0,0,51,199,50207,3
"Block Group 1, Census Tract 503.03, York County, Virginia",511990503031,208,164,0,0,0,0,0,44,44,0,51,199,50303,1
"Block Group 1, Census Tract 503.04, York County, Virginia",511990503041,58,58,0,0,0,0,0,0,0,0,51,199,50304,1
"Block Group 3, Census Tract 503.04, York County, Virginia",511990503043,135,32,0,0,0,0,33,70,70,0,51,199,50304,3
"Block Group 2, Census Tract 503.06, York County, Virginia",511990503062,0,0,0,0,0,0,0,0,0,0,51,199,50306,2
"Block Group 2, Census Tract 504.01, York County, Virginia",511990504012,38,36,0,0,0,0,0,2,2,0,51,199,50401,2
"Block Group 3, Census Tract 504.02, York County, Virginia",511990504023,81,58,0,0,0,0,23,0,0,0,51,199,50402,3
"Block Group 2, Census Tract 2001.04, Alexandria city, Virginia",515102001042,301,218,0,0,0,0,83,0,0,0,51,510,200104,2
"Block Group 2, Census Tract 2001.05, Alexandria city, Virginia",515102001052,244,36,0,0,0,0,86,122,122,0,51,510,200105,2
"Block Group 3, Census Tract 2001.06, Alexandria city, Virginia",515102001063,149,149,0,0,0,0,0,0,0,0,51,510,200106,3
"Block Group 1, Census Tract 2001.09, Alexandria city, Virginia",515102001091,127,21,0,0,0,0,25,81,55,26,51,510,200109,1
"Block Group 1, Census Tract 2001.10, Alexandria city, Virginia",515102001101,181,105,0,0,0,0,0,76,61,15,51,510,200110,1
"Block Group 2, Census Tract 2001.11, Alexandria city, Virginia",515102001112,469,140,0,0,0,0,108,221,153,68,51,510,200111,2
"Block Group 2, Census Tract 2002.01, Alexandria city, Virginia",515102002012,58,19,2,11,0,0,0,26,26,0,51,510,200201,2
"Block Group 2, Census Tract 2002.02, Alexandria city, Virginia",515102002022,45,45,0,0,0,0,0,0,0,0,51,510,200202,2
"Block Group 1, Census Tract 2003.02, Alexandria city, Virginia",515102003021,764,108,18,0,0,0,545,93,69,24,51,510,200302,1
"Block Group 1, Census Tract 2003.04, Alexandria city, Virginia",515102003041,89,64,0,0,0,0,25,0,0,0,51,510,200304,1
"Block Group 1, Census Tract 2003.05, Alexandria city, Virginia",515102003051,247,0,0,0,0,0,246,1,0,1,51,510,200305,1
"Block Group 1, Census Tract 2004.04, Alexandria city, Virginia",515102004041,152,122,0,0,0,0,30,0,0,0,51,510,200404,1
"Block Group 2, Census Tract 2004.06, Alexandria city, Virginia",515102004062,451,358,0,0,0,0,82,11,0,11,51,510,200406,2
"Block Group 1, Census Tract 2004.07, Alexandria city, Virginia",515102004071,89,12,0,0,0,0,25,52,52,0,51,510,200407,1
"Block Group 1, Census Tract 2004.08, Alexandria city, Virginia",515102004081,537,254,39,0,0,0,244,0,0,0,51,510,200408,1
"Block Group 2, Census Tract 2007.03, Alexandria city, Virginia",515102007032,262,84,0,0,0,0,0,178,0,178,51,510,200703,2
"Block Group 1, Census Tract 2007.04, Alexandria city, Virginia",515102007041,123,44,0,0,0,0,79,0,0,0,51,510,200704,1
"Block Group 1, Census Tract 2007.05, Alexandria city, Virginia",515102007051,1,1,0,0,0,0,0,0,0,0,51,510,200705,1
