NAME,GEO_ID,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county,tract,block group,Pop_65_Plus,Pop_75_Plus
"Block Group 1, Census Tract 4528.01, Fairfax County, Virginia",510594528011,485,19,0,0,0,0,0,0,0,76,100,13,0,110,12,34,0,33,25,8,14,6,8,27,421,80,0,9,0,0,0,19,0,32,43,43,17,0,12,29,11,30,12,15,0,41,28,0,51,59,452801,1,184,110
"Block Group 4, Census Tract 4528.01, Fairfax County, Virginia",510594528014,186,0,0,0,0,0,0,0,13,0,54,17,0,14,16,0,0,17,0,14,14,19,8,0,202,0,0,0,0,0,0,0,14,19,16,0,25,15,44,14,0,0,0,13,12,22,8,0,51,59,452801,4,110,57
"Block Group 1, Census Tract 4601, Fairfax County, Virginia",510594601001,696,74,36,40,80,0,0,4,21,0,0,18,27,78,94,84,6,20,0,0,44,51,0,19,786,66,132,47,48,32,0,8,14,0,0,39,61,94,62,56,0,9,8,0,41,35,16,18,51,59,460100,1,232,139
"Block Group 1, Census Tract 4602, Fairfax County, Virginia",510594602001,927,83,47,59,78,31,0,0,19,11,18,29,110,19,108,61,67,78,17,18,50,24,0,0,979,28,50,58,45,65,12,0,52,31,17,40,86,41,94,89,80,34,9,66,60,22,0,0,51,59,460200,1,266,46
"Block Group 2, Census Tract 4603, Fairfax County, Virginia",510594603002,1043,45,88,114,37,34,0,11,36,6,27,39,80,121,54,174,9,20,21,27,40,23,33,4,1200,76,185,69,46,26,0,0,20,7,19,86,88,102,64,157,36,32,14,33,63,58,13,6,51,59,460300,2,335,137
"Block Group 2, Census Tract 4604, Fairfax County, Virginia",510594604002,941,77,72,60,24,0,0,0,30,79,53,111,66,46,73,75,41,15,9,28,32,29,2,19,1097,64,73,116,33,0,10,0,10,11,31,110,73,105,114,37,36,93,24,30,33,21,44,29,51,59,460400,2,300,144
"Block Group 1, Census Tract 4605.03, Fairfax County, Virginia",510594605031,446,0,0,0,0,0,0,0,95,122,81,107,0,0,0,29,0,0,12,0,0,0,0,0,426,69,0,0,0,0,72,0,44,74,95,60,0,0,0,0,0,12,0,0,0,0,0,0,51,59,460503,1,12,0
"Block Group 2, Census Tract 4605.04, Fairfax County, Virginia",510594605042,1129,44,78,127,94,1,0,0,128,25,61,63,43,122,55,95,28,61,0,0,33,30,0,41,1494,35,135,142,136,0,84,0,25,92,78,122,83,167,136,90,31,1,47,30,37,1,0,22,51,59,460504,2,241,94
"Block Group 1, Census Tract 4607.01, Fairfax County, Virginia",510594607011,629,32,26,59,31,0,0,0,16,41,6,15,47,52,78,79,19,56,19,0,0,9,0,44,670,28,29,121,32,0,0,0,13,0,11,42,54,43,78,106,26,21,0,0,14,0,33,19,51,59,460701,1,138,105
"Block Group 2, Census Tract 4607.02, Fairfax County, Virginia",510594607022,1253,88,157,54,28,85,9,11,0,10,37,109,199,87,64,90,78,45,29,9,43,11,0,10,1031,42,57,85,35,0,0,0,21,29,74,198,66,89,41,117,12,51,11,29,18,23,0,33,51,59,460702,2,216,77
"Block Group 2, Census Tract 4608, Fairfax County, Virginia",510594608002,945,106,40,52,11,10,23,9,36,25,28,70,58,42,53,142,26,16,7,26,111,23,9,22,1300,54,31,142,46,40,0,0,46,28,64,45,52,18,91,113,20,62,41,24,100,50,37,196,51,59,460800,2,646,337
