NAME,GEO_ID,C17002_002E,C17002_003E,C17002_004E,C17002_005E,C17002_006E,C17002_007E,C17002_008E,state,county,tract,block group
"Block Group 1, Census Tract 4528.01, Fairfax County, Virginia",510594528011,119,67,32,0,0,0,660,51,59,452801,1
"Block Group 4, Census Tract 4528.01, Fairfax County, Virginia",510594528014,15,0,0,13,17,0,343,51,59,452801,4
"Block Group 1, Census Tract 4601, Fairfax County, Virginia",510594601001,0,32,0,29,12,4,1399,51,59,460100,1
"Block Group 1, Census Tract 4602, Fairfax County, Virginia",510594602001,26,0,86,10,0,0,1784,51,59,460200,1
"Block Group 2, Census Tract 4603, Fairfax County, Virginia",510594603002,25,0,0,10,10,0,2192,51,59,460300,2
"Block Group 2, Census Tract 4604, Fairfax County, Virginia",510594604002,102,40,19,18,0,4,1830,51,59,460400,2
"Block Group 1, Census Tract 4605.03, Fairfax County, Virginia",510594605031,184,0,0,0,0,0,688,51,59,460503,1
"Block Group 2, Census Tract 4605.04, Fairfax County, Virginia",510594605042,24,5,22,331,80,22,2131,51,59,460504,2
"Block Group 1, Census Tract 4607.01, Fairfax County, Virginia",510594607011,13,0,0,18,89,0,1179,51,59,460701,1
"Block Group 2, Census Tract 4607.02, Fairfax County, Virginia",510594607022,157,6,0,0,0,0,2081,51,59,460702,2
"Block Group 2, Census Tract 4608, Fairfax County, Virginia",510594608002,101,42,33,180,23,0,1866,51,59,460800,2
"Block Group 5, Census Tract 4615, Fairfax County, Virginia",510594615005,2,3,0,2,0,0,1111,51,59,461500,5
"Block Group 2, Census Tract 4616.03, Fairfax County, Virginia",510594616032,66,124,22,0,64,27,1380,51,59,461603,2
"Block Group 2, Census Tract 4616.04, Fairfax County, Virginia",510594616042,44,21,89,0,0,20,661,51,59,461604,2
"Block Group 3, Census Tract 4616.05, Fairfax County, Virginia",510594616053,13,0,0,0,0,0,958,51,59,461605,3
"Block Group 1, Census Tract 4617, Fairfax County, Virginia",510594617001,140,59,74,30,119,53,1619,51,59,461700,1
"Block Group 4, Census Tract 4617, Fairfax County, Virginia",510594617004,13,0,0,0,0,0,1197,51,59,461700,4
"Block Group 2, Census Tract 4618.02, Fairfax County, Virginia",510594618022,13,88,0,0,0,0,1984,51,59,461802,2
"Block Group 2, Census Tract 4619.01, Fairfax County, Virginia",510594619012,42,37,159,0,134,59,1643,51,59,461901,2
"Block Group 2, Census Tract 4701, Fairfax County, Virginia",510594701002,6,8,0,22,0,0,1759,51,59,470100,2
"Block Group 1, Census Tract 4704, Fairfax County, Virginia",510594704001,19,10,0,0,0,0,1084,51,59,470400,1
"Block Group 4, Census Tract 4704, Fairfax County, Virginia",510594704004,18,0,0,0,0,19,1620,51,59,470400,4
"Block Group 3, Census Tract 4705, Fairfax County, Virginia",510594705003,0,0,0,0,0,0,1076,51,59,470500,3
"Block Group 2, Census Tract 4706, Fairfax County, Virginia",510594706002,64,91,42,11,25,27,1444,51,59,470600,2
"Block Group 2, Census Tract 4707, Fairfax County, Virginia",510594707002,12,12,0,0,0,0,1067,51,59,470700,2
"Block Group 5, Census Tract 4707, Fairfax County, Virginia",510594707005,0,9,6,0,0,0,1064,51,59,470700,5
"Block Group 1, Census Tract 4709, Fairfax County, Virginia",510594709001,15,16,17,0,0,0,2153,51,59,470900,1
"Block Group 3, Census Tract 4712.04, Fairfax County, Virginia",510594712043,44,19,23,62,70,0,1271,51,59,471204,3
"Block Group 2, Census Tract 4713.01, Fairfax County, Virginia",510594713012,29,24,39,31,92,40,2259,51,59,471301,2
"Block Group 3, Census Tract 4713.03, Fairfax County, Virginia",510594713033,12,33,9,0,306,21,1475,51,59,471303,3
"Block Group 2, Census Tract 4714.01, Fairfax County, Virginia",510594714012,63,88,15,69,261,0,1664,51,59,471401,2
"Block Group 1, Census Tract 4801, Fairfax County, Virginia",510594801001,48,0,0,0,0,0,1369,51,59,480100,1
"Block Group 4, Census Tract 4801, Fairfax County, Virginia",510594801004,0,0,0,0,0,0,649,51,59,480100,4
"Block Group 3, Census Tract 4802.01, Fairfax County, Virginia",510594802013,11,0,9,0,11,0,944,51,59,480201,3
"Block Group 1, Census Tract 4802.04, Fairfax County, Virginia",510594802041,35,23,125,0,0,17,1343,51,59,480204,1
"Block Group 1, Census Tract 4802.05, Fairfax County, Virginia",510594802051,40,0,0,0,16,0,252,51,59,480205,1
"Block Group 2, Census Tract 4803.01, Fairfax County, Virginia",510594803012,0,47,0,0,20,0,1439,51,59,480301,2
"Block Group 3, Census Tract 4803.02, Fairfax County, Virginia",510594803023,14,0,0,0,0,0,2447,51,59,480302,3
